"","NOM_MUN_ORIGINAL_MAL","datos_original_mal","datos_localidad_bien","NOM_MUN_LOCALIDAD_BIEN","CVEGEO","dist"
"181","Metztitlán","13037_Mineral Del Chico","13036_Carrizal Chico","San Agustín Metzquititlán","130360007002A800",0.221497584541063
"182","Huazalingo","13026_Huejutla De Reyes","13046_Hueytlale","San Felipe Orizatlán","1304600240026800",0.226086956521739
"183","Tepeji del Río de Ocampo","13063_Localidad El Eden","13046_El Eden","San Felipe Orizatlán","1304601740045800",0.226727982162765
"184","Tepeji del Río de Ocampo","13063_Localidad El Eden","13046_El Eden","San Felipe Orizatlán","1304601740045800",0.226727982162765
"185","Mixquiahuala de Juárez","13041_Mixquiahuala (Col. Taxhuada)","13047_Mixquiahuales","Pacula","1304700140023800",0.229102167182663
"186","Santiago de Anaya","13055_La Joya (Fraccionamiento)","13053_La Joya","San Bartolo Tutotepec","1305301130020800",0.229942100909843
"187","Santiago de Anaya","13055_La Joya (Fraccionamiento)","13056_La Joya","Santiago Tulantepec de Lugo Guerrero","130560028015A800",0.229942100909843
"188","Santiago de Anaya","13055_La Joya (Fraccionamiento)","13057_La Joya","Singuilucan","1305700360015800",0.229942100909843
"189","Santiago de Anaya","13055_La Joya (Fraccionamiento)","13059_La Joya","Tecozautla","1305900160024800",0.229942100909843
"190","El Arenal","13009_Colonia 20 De Mayo","13007_Colonia Martinez","Almoloya","1300701720047800",0.233270202020202
"191","San Agustín Tlaxiaca","13052_San Agustin Tlaxiaca (Barrio Casa Grande)","13006_San Agustin Tlalixticapa","Alfajayucan","1300600280020800",0.238250591016548
"192","San Agustín Tlaxiaca","13052_San Agustin Tlaxiaca  (Barrio Casa Grande)","13006_San Agustin Tlalixticapa","Alfajayucan","1300600280020800",0.241944444444444
"193","Tecozautla","13059_Col. 20 De Noviembre","13059_El Geiser","Tecozautla","1305900490043800",0.246153846153846
"194","Tecozautla","13059_Ejido Tagui 3 (Localidad)","13035_Ejido Apulco","Metepec","1303500350022800",0.249820788530466
"195","Progreso de Obregón","13050_Col. Tenhe (Mixquiahuala)","13080_Tenexapa","Yahualica","1308000390013800",0.251920122887865
